,date,ct,dt,ct_ma,dt_ma
362,2021-01-28,4131,113,4070.5714285714284,89.71428571428571
363,2021-01-29,3538,96,3853.5714285714284,88.0
364,2021-01-30,3342,91,3655.8571428571427,89.14285714285714
365,2021-01-31,2673,65,3467.714285714286,90.42857142857143
366,2021-02-01,1793,80,3329.1428571428573,91.28571428571429
367,2021-02-02,2324,119,3110.714285714286,93.42857142857143
368,2021-02-03,2634,120,2919.285714285714,97.71428571428571
369,2021-02-04,2578,104,2697.4285714285716,96.42857142857143
370,2021-02-05,2370,106,2530.5714285714284,97.85714285714286
371,2021-02-06,2277,94,2378.4285714285716,98.28571428571429
372,2021-02-07,1630,52,2229.4285714285716,96.42857142857143
373,2021-02-08,1217,83,2147.1428571428573,96.85714285714286
374,2021-02-09,1568,94,2039.142857142857,93.28571428571429
375,2021-02-10,1886,121,1932.2857142857142,93.42857142857143
376,2021-02-11,1690,78,1805.4285714285713,89.71428571428571
377,2021-02-12,1300,63,1652.5714285714287,83.57142857142857
378,2021-02-13,1360,65,1521.5714285714287,79.42857142857143
379,2021-02-14,1362,38,1483.2857142857142,77.42857142857143
380,2021-02-15,965,73,1447.2857142857142,76.0
381,2021-02-16,1308,101,1410.142857142857,77.0
382,2021-02-17,1448,79,1347.5714285714287,71.0
383,2021-02-18,1536,76,1325.5714285714287,70.71428571428571
384,2021-02-19,1301,66,1325.7142857142858,71.14285714285714
385,2021-02-20,1233,78,1307.5714285714287,73.0
386,2021-02-21,1032,50,1260.4285714285713,74.71428571428571
387,2021-02-22,740,56,1228.2857142857142,72.28571428571429
388,2021-02-23,1081,54,1195.857142857143,65.57142857142857
389,2021-02-24,921,69,1120.5714285714287,64.14285714285714
390,2021-02-25,1076,74,1054.857142857143,63.857142857142854
391,2021-02-26,1054,80,1019.5714285714286,65.85714285714286
392,2021-02-27,1213,41,1016.7142857142857,60.57142857142857
393,2021-02-28,999,30,1012.0,57.714285714285715
394,2021-03-01,698,51,1006.0,57.0
395,2021-03-02,888,65,978.4285714285714,58.57142857142857
396,2021-03-03,1243,63,1024.4285714285713,57.714285714285715
397,2021-03-04,1169,67,1037.7142857142858,56.714285714285715
398,2021-03-05,1148,55,1051.142857142857,53.142857142857146
399,2021-03-06,1043,40,1026.857142857143,53.0
400,2021-03-07,1071,24,1037.142857142857,52.142857142857146
401,2021-03-08,600,45,1023.1428571428571,51.285714285714285
402,2021-03-09,1127,58,1057.2857142857142,50.285714285714285
403,2021-03-10,1313,54,1067.2857142857142,49.0
404,2021-03-11,1317,45,1088.4285714285713,45.857142857142854
405,2021-03-12,1271,58,1106.0,46.285714285714285
406,2021-03-13,1319,51,1145.4285714285713,47.857142857142854
407,2021-03-14,987,22,1133.4285714285713,47.57142857142857
408,2021-03-15,695,38,1147.0,46.57142857142857
409,2021-03-16,1133,57,1147.857142857143,46.42857142857143
410,2021-03-17,1533,43,1179.2857142857142,44.857142857142854
411,2021-03-18,1497,32,1205.0,43.0
412,2021-03-19,1463,33,1232.4285714285713,39.42857142857143
413,2021-03-20,1516,19,1260.5714285714287,34.857142857142854
414,2021-03-21,1118,20,1279.2857142857142,34.57142857142857
415,2021-03-22,816,33,1296.5714285714287,33.857142857142854
416,2021-03-23,1500,53,1349.0,33.285714285714285
417,2021-03-24,1917,21,1403.857142857143,30.142857142857142
418,2021-03-25,1915,27,1463.5714285714287,29.428571428571427
419,2021-03-26,2025,33,1543.857142857143,29.428571428571427
420,2021-03-27,2071,32,1623.142857142857,31.285714285714285
421,2021-03-28,1782,29,1718.0,32.57142857142857
422,2021-03-29,1345,29,1793.5714285714287,32.0
423,2021-03-30,2087,33,1877.4285714285713,29.142857142857142
424,2021-03-31,2843,49,2009.7142857142858,33.142857142857146
425,2021-04-01,2605,18,2108.285714285714,31.857142857142858
426,2021-04-02,2754,22,2212.4285714285716,30.285714285714285
427,2021-04-03,2772,8,2312.5714285714284,26.857142857142858
428,2021-04-04,2467,12,2410.4285714285716,24.428571428571427
429,2021-04-05,1571,19,2442.714285714286,23.0
430,2021-04-06,2666,28,2525.4285714285716,22.285714285714285
431,2021-04-07,3448,30,2611.8571428571427,19.571428571428573
432,2021-04-08,3496,25,2739.1428571428573,20.571428571428573
433,2021-04-09,3488,27,2844.0,21.285714285714285
434,2021-04-10,3765,27,2985.8571428571427,24.0
435,2021-04-11,2836,17,3038.5714285714284,24.714285714285715
436,2021-04-12,2104,24,3114.714285714286,25.428571428571427
437,2021-04-13,3452,44,3227.0,27.714285714285715
438,2021-04-14,4307,34,3349.714285714286,28.285714285714285
439,2021-04-15,4569,35,3503.0,29.714285714285715
440,2021-04-16,4524,46,3651.0,32.42857142857143
441,2021-04-17,4793,41,3797.8571428571427,34.42857142857143
442,2021-04-18,4084,16,3976.1428571428573,34.285714285714285
443,2021-04-19,2903,30,4090.285714285714,35.142857142857146
444,2021-04-20,4350,45,4218.571428571428,35.285714285714285
445,2021-04-21,5286,50,4358.428571428572,37.57142857142857
446,2021-04-22,5492,42,4490.285714285715,38.57142857142857
447,2021-04-23,5104,56,4573.142857142857,40.0
448,2021-04-24,5595,54,4687.714285714285,41.857142857142854
449,2021-04-25,4599,51,4761.285714285715,46.857142857142854
450,2021-04-26,3314,35,4820.0,47.57142857142857
451,2021-04-27,4961,63,4907.285714285715,50.142857142857146
452,2021-04-28,5783,51,4978.285714285715,50.285714285714285
453,2021-04-29,5913,78,5038.428571428572,55.42857142857143
454,2021-04-30,4684,39,4978.428571428572,53.0
455,2021-05-01,5983,83,5033.857142857143,57.142857142857146
456,2021-05-02,5890,61,5218.285714285715,58.57142857142857
457,2021-05-03,4464,49,5382.571428571428,60.57142857142857
458,2021-05-04,4190,50,5272.428571428572,58.714285714285715
459,2021-05-05,4060,60,5026.285714285715,60.0
460,2021-05-06,4370,65,4805.857142857143,58.142857142857146
461,2021-05-07,6050,148,5001.0,73.71428571428571
462,2021-05-08,7238,86,5180.285714285715,74.14285714285714
463,2021-05-09,6484,65,5265.142857142857,74.71428571428571
464,2021-05-10,4940,71,5333.142857142857,77.85714285714286
465,2021-05-11,6235,113,5625.285714285715,86.85714285714286
466,2021-05-12,7051,106,6052.571428571428,93.42857142857143
467,2021-05-13,6874,101,6410.285714285715,98.57142857142857
468,2021-05-14,6262,81,6440.571428571428,89.0
469,2021-05-15,6417,94,6323.285714285715,90.14285714285714
470,2021-05-16,5256,47,6147.857142857143,87.57142857142857
471,2021-05-17,3677,122,5967.428571428572,94.85714285714286
472,2021-05-18,5224,216,5823.0,109.57142857142857
473,2021-05-19,5791,97,5643.0,108.28571428571429
474,2021-05-20,5712,105,5477.0,108.85714285714286
475,2021-05-21,5245,112,5331.714285714285,113.28571428571429
476,2021-05-22,5035,83,5134.285714285715,111.71428571428571
477,2021-05-23,4039,62,4960.428571428572,113.85714285714286
478,2021-05-24,2711,85,4822.428571428572,108.57142857142857
479,2021-05-25,3892,104,4632.142857142857,92.57142857142857
480,2021-05-26,4533,116,4452.428571428572,95.28571428571429
481,2021-05-27,4132,119,4226.714285714285,97.28571428571429
482,2021-05-28,3703,95,4006.4285714285716,94.85714285714286
